"","ctx-lh-bankssts","ctx-lh-caudalanteriorcingulate","ctx-lh-caudalmiddlefrontal","ctx-lh-cuneus","ctx-lh-entorhinal","ctx-lh-fusiform","ctx-lh-inferiorparietal","ctx-lh-inferiortemporal","ctx-lh-isthmuscingulate","ctx-lh-lateraloccipital","ctx-lh-lateralorbitofrontal","ctx-lh-lingual","ctx-lh-medialorbitofrontal","ctx-lh-middletemporal","ctx-lh-parahippocampal","ctx-lh-paracentral","ctx-lh-parsopercularis","ctx-lh-parsorbitalis","ctx-lh-parstriangularis","ctx-lh-pericalcarine","ctx-lh-postcentral","ctx-lh-posteriorcingulate","ctx-lh-precentral","ctx-lh-precuneus","ctx-lh-rostralanteriorcingulate","ctx-lh-rostralmiddlefrontal","ctx-lh-superiorfrontal","ctx-lh-superiorparietal","ctx-lh-superiortemporal","ctx-lh-supramarginal","ctx-lh-frontalpole","ctx-lh-temporalpole","ctx-lh-transversetemporal","ctx-lh-insula"
"ctx-lh-bankssts",0,153.708437038819,125.711757256437,94.2225318542293,88.9217789753966,44.501062109628,0.365854014685913,16.2245192970781,111.319436946317,11.7910676052833,92.312554342522,78.3629720107554,90.7412339480036,0.133588734783709,84.2482662779445,120.975504178256,89.6267637469745,114.380923370325,103.000224151002,95.4685704713113,58.0384816807694,138.463216131497,77.583154406408,94.602880793085,117.160144755918,133.785203107529,145.00040958332,46.4759373519169,0.267535040180927,0.169848910167178,151.772698568562,80.8772303736589,32.7233339274759,48.8116139800229
"ctx-lh-caudalanteriorcingulate",153.708437038819,0,55.29587171453,78.9733968326394,76.4166799417473,93.1227391484931,135.062329837473,107.284163023491,26.3532751860968,129.325053701898,47.4658405356058,77.6072952530259,25.7080548638923,108.606072409343,73.7287218350513,19.7276576839228,101.31831195187,88.3477320974087,96.4803619318781,79.0788341014772,61.7301313010464,0.182815341340248,42.9997980173504,46.9506082970823,0.0974615572584442,53.9103856844775,0.215767725403816,75.8598375318696,77.3131159222326,116.487946684655,46.7960945235002,77.365147231259,106.800679234298,60.2655271616517
"ctx-lh-caudalmiddlefrontal",125.711757256437,55.29587171453,0,134.347093556631,102.355046897932,115.289865174495,128.973566946575,129.451289049493,89.8823042796523,163.764668576794,64.1212819680431,134.787536083656,90.9093598051699,126.400430322092,130.908962665682,34.6468688631812,0.344978356511926,65.6943936392467,34.7522959570505,134.452530825469,34.430813353472,56.68240889897,0.129421375999921,69.9976828566586,72.9300793643395,0.250495239596231,0.183414334295583,70.7008691321385,82.1981039216197,59.1550693303234,93.0938743896135,97.6977052883308,79.5068819134786,57.1929678649993
"ctx-lh-cuneus",94.2225318542293,78.9733968326394,134.347093556631,0,60.5133792029041,52.7117669893834,34.3995986798225,72.9229728822393,9.7224530749956,0.378246679006066,112.229122825104,10.7424658024553,109.064298560545,84.6598758443476,26.2813478531746,60.2702976016289,140.205143825053,138.502121773376,138.263989180566,0.476501382765696,81.3368406928979,42.5185762272045,88.9533276873404,0.156413276122657,113.039414687732,158.705977789192,72.694924645527,0.251533630673865,101.442046870212,75.4424980088386,164.857522124062,88.4885583858732,137.270967665261,95.4575465138346
"ctx-lh-entorhinal",88.9217789753966,76.4166799417473,102.355046897932,60.5133792029041,0,0.146218722657051,106.472016470539,6.26757890666197,34.597225346743,76.815886639675,16.3329663278541,30.49895245519,13.1681420632948,29.0917534332863,0.733351185495636,93.3371235766323,44.8569996161961,42.6059652761256,42.8003656011849,60.054372925363,50.5827697651592,73.5887654744799,45.3387911139463,49.8047542242536,39.6235158245896,64.9445394584634,74.9012580306432,99.1879881705872,9.10259932192945,63.7959139976524,77.2319711064456,0.273317393399806,42.3757950471041,0.410824755713804
"ctx-lh-fusiform",44.501062109628,93.1227391484931,115.289865174495,52.7117669893834,0.146218722657051,0,37.9003061696753,0.182615067110485,26.6131855580502,0.215771756907364,32.6746313932894,0.077769560830982,29.8742012700406,12.8732913619713,0.141465952107032,85.7987568177779,57.7997455126012,58.1415379347717,56.440945706985,41.6523311644535,63.3828961043734,66.0503987156255,58.2724653577922,41.4914297841551,56.3295750313354,80.9029546534859,91.607317237389,73.8367427822566,17.9989717428834,75.0462258032862,93.3177179275195,0.758806718363093,54.4392787133179,15.6341003096053
"ctx-lh-inferiorparietal",0.365854014685913,135.062329837473,128.973566946575,34.3995986798225,106.472016470539,37.9003061696753,0,9.09520528682029,75.289387158592,0.25671625305745,114.963083096158,59.9843253729779,113.703482023044,0.133206562748501,89.9473163637888,73.1180191856006,100.234604430918,136.402474505287,116.517392893915,49.0336074776112,52.4539342629582,88.8505316418932,83.9608712413118,32.7311374822357,140.122392830959,144.393043791473,111.112480442045,0.074775377368701,5.20832756954291,0.102198966668022,174.235181886111,103.869100658624,53.0122227244606,59.4194546639669
"ctx-lh-inferiortemporal",16.2245192970781,107.284163023491,129.451289049493,72.9229728822393,6.26757890666197,0.182615067110485,9.09520528682029,0,46.8804207501587,0.318306006748874,46.8360552682872,31.9934952279541,44.0356251450383,0.0598634415151063,7.57812375670562,105.973039055939,71.9611693875989,72.3029618097694,70.6023695819828,62.7280617865574,77.5443199793711,86.224680953787,72.4338892327899,61.7586649762636,70.4909989063332,95.0643785284836,105.768741112387,72.4552397572572,16.4053043695516,46.9147194365282,107.479141802517,0.546931156390218,57.1133947992222,29.7955241846031
"ctx-lh-isthmuscingulate",111.319436946317,26.3532751860968,89.8823042796523,9.72245307499561,34.597225346743,26.6131855580502,75.289387158592,46.8804207501587,0,58.599659302849,86.3129689689432,0.36480562261314,83.148144704384,82.1890008821349,0.547491079726823,15.2899916917187,114.288989968892,112.585967917215,112.347835324405,9.75723335422445,37.013094189786,0.241170826856857,43.9730217774302,0.159116086700201,60.4102993407531,112.194348155095,28.2374138013255,31.5019584824861,75.5258930140513,84.552374681778,112.254758858209,62.5724045297122,111.3548138091,69.5413926576735
"ctx-lh-lateraloccipital",11.7910676052833,129.325053701898,163.764668576794,0.378246679006066,76.815886639675,0.215771756907364,0.25671625305745,0.318306006748874,58.599659302849,0,130.826538668471,0.18879620148575,127.752538151144,0.207648870943964,46.2577741487532,102.105049170847,127.679675067332,156.293445209953,143.962463530328,0.325916555579122,96.0913930011269,92.9388621012894,113.494302979626,27.851526014029,154.207911912439,171.838114427887,123.046581514786,0.26643793763632,36.9544456294272,42.4753245231675,191.469625202701,100.821434149473,76.4072216728554,86.8645253003804
