"","ctx-rh-bankssts","ctx-rh-caudalanteriorcingulate","ctx-rh-caudalmiddlefrontal","ctx-rh-cuneus","ctx-rh-entorhinal","ctx-rh-fusiform","ctx-rh-inferiorparietal","ctx-rh-inferiortemporal","ctx-rh-isthmuscingulate","ctx-rh-lateraloccipital","ctx-rh-lateralorbitofrontal","ctx-rh-lingual","ctx-rh-medialorbitofrontal","ctx-rh-middletemporal","ctx-rh-parahippocampal","ctx-rh-paracentral","ctx-rh-parsopercularis","ctx-rh-parsorbitalis","ctx-rh-parstriangularis","ctx-rh-pericalcarine","ctx-rh-postcentral","ctx-rh-posteriorcingulate","ctx-rh-precentral","ctx-rh-precuneus","ctx-rh-rostralanteriorcingulate","ctx-rh-rostralmiddlefrontal","ctx-rh-superiorfrontal","ctx-rh-superiorparietal","ctx-rh-superiortemporal","ctx-rh-supramarginal","ctx-rh-frontalpole","ctx-rh-temporalpole","ctx-rh-transversetemporal","ctx-rh-insula"
"ctx-rh-bankssts",0,151.766489584827,124.731540197251,113.397811233787,92.2483751039883,59.0453732988793,0.258107695333863,27.7229642405126,124.542794845875,41.6205708629294,86.9560058614928,87.6415522678424,102.503252847382,0.341456336895355,93.5940144876388,111.868709439547,87.836075529754,109.360953930866,103.930303229455,115.431886626521,51.6785399408066,142.983387696908,76.8940725200231,105.851887064928,119.34514876372,134.986771697275,134.632277811627,53.6801300890833,0.401176536502677,0.408910794919077,150.066427452552,82.3531337467859,38.0993252629272,46.95613528236
"ctx-rh-caudalanteriorcingulate",151.766489584827,0,47.9336751891984,80.821829215433,77.1286108697609,89.858875001981,133.016220157522,91.2918964150201,33.0904607731633,128.990019555098,47.1975062327679,75.1886532446293,27.4243432630071,102.035256667145,74.039972435597,17.3580819095761,93.8200144932938,84.5352295185457,94.233591744623,80.8998798113097,56.9795122310738,0.0996131917699536,40.6280456474398,44.455992659184,0.098465455069662,47.0863275842903,0.130968778897603,69.8610018865956,75.0313583592721,115.242578903949,51.8910075817413,73.3976673248827,106.131843206823,62.2049872275793
"ctx-rh-caudalmiddlefrontal",124.731540197251,47.9336751891984,0,139.144988199574,113.752917533963,124.75082911201,115.547199123681,126.16229573631,92.0713497231705,173.240614897051,70.0903741892158,134.334731777199,79.4603611230513,132.252361816226,133.732993847158,37.7453545436951,0.236095518370203,69.5369954471658,28.0862495954029,139.223038795451,38.1768043924206,55.1096709340428,0.0661758270576405,70.2571421864541,56.6965742996608,0.253097160018757,0.179354668050865,72.1988246802933,99.4632741700673,70.4489329177167,85.9497590997436,107.37040947149,93.8275659586507,64.2338002406682
"ctx-rh-cuneus",113.397811233787,80.8218292154329,139.144988199574,0,59.9010731836945,50.1168851172375,36.7699058495769,75.7209105325313,11.5479861237356,0.407809044760066,101.954116141295,8.35131868107231,117.368274044241,86.8554391310916,27.7984949528677,66.2639406967389,138.477848621617,130.653318847712,134.693637710781,0.335756281385619,86.2963388035092,47.7795458536564,98.8791046161662,0.217301163165844,115.245148170339,149.975507150673,78.9537052499944,0.545910740878175,98.2746949076227,90.7951398563786,169.320445631739,87.0419086079772,135.292293146517,91.9941945034138
"ctx-rh-entorhinal",92.2483751039882,77.1286108697608,113.752917533963,59.9010731836945,0,0.234201564815425,105.158301202254,5.66277175797051,29.9863805631724,65.8616726344931,12.2875171506665,28.2565644697803,27.7016750536122,20.2977933991705,0.835035472903855,91.1016487536042,49.7513315150089,41.3621648770772,45.9502581780682,59.0050912980175,52.366077173042,70.5870667052113,52.1102103188469,45.7777944766933,44.7072700486535,70.0089670568543,77.6564350620312,92.9069363753992,11.3314901296454,63.7335047440994,79.7597048857654,0.405474436405252,46.797551033664,3.56230537329686
"ctx-rh-fusiform",59.0453732988793,89.858875001981,124.75082911201,50.1168851172375,0.234201564815425,0,35.1771530150509,0.182311827153682,28.7377736259714,0.247390530283735,25.1197636186502,0.156514258490627,40.4519968522916,15.8677231103928,0.0931630309944334,89.8530418164031,60.7492430930557,53.1474533523846,56.9650321822203,34.3619180833258,63.0366788844027,69.3384597680103,62.8237681473691,44.4656803754718,57.4375341808736,82.0823246626582,90.3866991942513,74.3862350295479,19.2538893921063,74.3697315850198,91.8330624915694,0.250990432292987,57.2391142911704,14.6910952764352
"ctx-rh-inferiorparietal",0.258107695333863,133.016220157522,115.547199123681,36.7699058495768,105.158301202254,35.1771530150509,0,11.8270872039447,79.4008583839046,0.433231727561745,100.829136564958,51.4919953276499,116.376383550847,0.323870048903013,81.3626392296723,68.9973619483162,96.1953254285223,123.234084634331,112.289553128223,44.7024134935124,32.557089917476,91.704745663676,74.133130214868,35.1490378975626,133.218279467185,126.637052823557,99.7298579818751,0.186334651249115,7.90614179257356,0.232807591185727,163.939558156017,97.1110198097315,47.698666233138,55.3153851811283
"ctx-rh-inferiortemporal",27.7229642405126,91.29189641502,126.16229573631,75.7209105325312,5.66277175797051,0.182311827153682,11.8270872039447,0,45.8124198211852,0.233241507164308,26.5527850316893,30.8860114831188,41.8850182653306,0.0500931158103033,9.25126437482397,106.927688011617,62.1607097173564,54.5589199766852,58.376498806521,62.3198124780109,64.3658896372922,86.4131059632241,64.1529789002586,61.5862225545521,58.8705555939127,83.5000892719453,91.8197206072904,76.1869676215796,16.6059735744065,64.1421641165756,93.2508271008565,0.248666392290212,58.56832504406,16.1241166894743
"ctx-rh-isthmuscingulate",124.542794845875,33.0904607731633,92.0713497231705,11.5479861237356,29.9863805631724,28.7377736259714,79.4008583839046,45.8124198211852,0,59.4504827566997,72.0394235207732,0.258427787380823,87.4535814237189,77.7920367976,0.126826931169601,15.4465232478139,108.563156001095,100.73862622719,104.778945090259,11.3603430129117,43.1174596082663,0.25293980422244,49.8990604279051,0.14389951315427,67.5216688249853,102.32470675177,31.8800667735907,37.8806488056973,68.3600022871006,94.7156137660058,124.413947153886,57.1272159874551,105.377600525995,62.0795018828917
"ctx-rh-lateraloccipital",41.6205708629294,128.990019555098,173.240614897051,0.407809044760066,65.8616726344931,0.247390530283735,0.433231727561745,0.233241507164308,59.4504827566997,0,114.104468127125,0.116744185762661,129.436701360766,0.293176911568035,42.0660106619115,103.697434312216,149.751576516722,142.141449691998,145.967365605886,0.253606288138947,100.867517042985,95.9477361933211,115.763900228855,29.5779345473606,146.422238689348,171.06991230055,127.121895589659,0.189144689489482,60.8331693535784,67.297968692604,180.820650129461,89.1592429135421,104.038053426183,103.67579978491
